code,url,creator,created_t,last_modified_t,product_name,abbreviated_product_name,generic_name,quantity,packaging,packaging_tags,packaging_text,brands,brands_tags,categories,categories_tags,origins,origins_tags,manufacturing_places,manufacturing_places_tags,labels,labels_tags,emb_codes,emb_codes_tags,cities,cities_tags,purchase_places,stores,countries,ingredients_text,allergens,allergens_tags,traces,traces_tags,serving_size,serving_quantity,no_nutriments,additives_n,additives_tags,ingredients_from_palm_oil_n,ingredients_from_palm_oil,ingredients_from_palm_oil_tags,ingredients_that_may_be_from_palm_oil_n,ingredients_that_may_be_from_palm_oil,ingredients_that_may_be_from_palm_oil_tags,nutriscore_score,nutriscore_grade,nova_group,pnns_groups_1,pnns_groups_2,states,brand_owner,ecoscore_score_fr,ecoscore_grade_fr,main_category,image_url,image_small_url,image_front_url,image_front_small_url,image_ingredients_url,image_ingredients_small_url,image_nutrition_url,image_nutrition_small_url,energy-kj_100g,energy-kcal_100g,energy_100g,energy-from-fat_100g,fat_100g,saturated-fat_100g,-butyric-acid_100g,-caproic-acid_100g,-caprylic-acid_100g,-capric-acid_100g,-lauric-acid_100g,-myristic-acid_100g,-palmitic-acid_100g,-stearic-acid_100g,-arachidic-acid_100g,-behenic-acid_100g,-lignoceric-acid_100g,-cerotic-acid_100g,-montanic-acid_100g,-melissic-acid_100g,monounsaturated-fat_100g,polyunsaturated-fat_100g,omega-3-fat_100g,-alpha-linolenic-acid_100g,-eicosapentaenoic-acid_100g,-docosahexaenoic-acid_100g,omega-6-fat_100g,-linoleic-acid_100g,-arachidonic-acid_100g,-gamma-linolenic-acid_100g,-dihomo-gamma-linolenic-acid_100g,omega-9-fat_100g,-oleic-acid_100g,-elaidic-acid_100g,-gondoic-acid_100g,-mead-acid_100g,-erucic-acid_100g,-nervonic-acid_100g,trans-fat_100g,cholesterol_100g,carbohydrates_100g,sugars_100g,-sucrose_100g,-glucose_100g,-fructose_100g,-lactose_100g,-maltose_100g,-maltodextrins_100g,starch_100g,polyols_100g,fiber_100g,-soluble-fiber_100g,-insoluble-fiber_100g,proteins_100g,casein_100g,serum-proteins_100g,nucleotides_100g,salt_100g,sodium_100g,alcohol_100g,vitamin-a_100g,beta-carotene_100g,vitamin-d_100g,vitamin-e_100g,vitamin-k_100g,vitamin-c_100g,vitamin-b1_100g,vitamin-b2_100g,vitamin-pp_100g,vitamin-b6_100g,vitamin-b9_100g,folates_100g,vitamin-b12_100g,biotin_100g,pantothenic-acid_100g,silica_100g,bicarbonate_100g,potassium_100g,chloride_100g,calcium_100g,phosphorus_100g,iron_100g,magnesium_100g,zinc_100g,copper_100g,manganese_100g,fluoride_100g,selenium_100g,chromium_100g,molybdenum_100g,iodine_100g,caffeine_100g,taurine_100g,ph_100g,fruits-vegetables-nuts_100g,fruits-vegetables-nuts-dried_100g,fruits-vegetables-nuts-estimate_100g,collagen-meat-protein-ratio_100g,cocoa_100g,chlorophyl_100g,carbon-footprint_100g,carbon-footprint-from-meat-or-fish_100g,nutrition-score-fr_100g,nutrition-score-uk_100g,glycemic-index_100g,water-hardness_100g,choline_100g,phylloquinone_100g,beta-glucan_100g,inositol_100g,carnitine_100g,search_category,search_country
9300633581978,https://world.openfoodfacts.org/product/9300633581978,foodorigins,1492238213,1596079499,Soft White Wraps,NA,NA,400g,Plastic,plastic,NA,Woolworths,woolworths,"Plant-based foods and beverages, Plant-based foods, Cereals and potatoes, Meals, Sandwiches, Breads, Flatbreads, White breads, Wheat breads, Wheat flatbreads","en:plant-based-foods-and-beverages,en:plant-based-foods,en:cereals-and-potatoes,en:meals,en:sandwiches,en:breads,en:flatbreads,en:white-breads,en:wheat-breads,en:wheat-flatbreads",NA,NA,NA,NA,Australian made,en:australian-made,NA,NA,NA,NA,"NSW,Australia",Woolworths,Australia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cereals and potatoes,Bread,"en:to-be-completed, en:nutrition-facts-to-be-completed, en:ingredients-to-be-completed, en:expiration-date-completed, en:packaging-code-to-be-completed, en:characteristics-completed, en:categories-completed, en:brands-completed, en:packaging-completed, en:quantity-completed, en:product-name-completed, en:photos-validated, en:photos-uploaded",NA,NA,NA,en:wheat-flatbreads,https://images.openfoodfacts.org/images/products/930/063/358/1978/front_en.7.400.jpg,https://images.openfoodfacts.org/images/products/930/063/358/1978/front_en.7.200.jpg,https://images.openfoodfacts.org/images/products/930/063/358/1978/front_en.7.400.jpg,https://images.openfoodfacts.org/images/products/930/063/358/1978/front_en.7.200.jpg,https://images.openfoodfacts.org/images/products/930/063/358/1978/ingredients_en.8.400.jpg,https://images.openfoodfacts.org/images/products/930/063/358/1978/ingredients_en.8.200.jpg,https://images.openfoodfacts.org/images/products/930/063/358/1978/nutrition_en.9.400.jpg,https://images.openfoodfacts.org/images/products/930/063/358/1978/nutrition_en.9.200.jpg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Flatbreads,Australia
9300695008444,https://world.openfoodfacts.org/product/9300695008444,georgij,1588554428,1588557734,Jumbo tortillas,NA,NA,450g,Plastic,plastic,NA,Old El Paso,old-el-paso,"Plant-based foods and beverages, Plant-based foods, Cereals and potatoes, Breads, Flatbreads, White breads, Wheat breads, Wheat flatbreads","en:plant-based-foods-and-beverages,en:plant-based-foods,en:cereals-and-potatoes,en:breads,en:flatbreads,en:white-breads,en:wheat-breads,en:wheat-flatbreads",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Australia,"Wheat flour (66%), water, humectant (glycerin), vegetable oil, wheat gluten, emulsifier (mono - and di-glycerides of fatty acids), dextrose, raising agents (sodium bicarbonate, sodium acid pyrophosphate), salt. Contains wheat ingredients.","en:gluten,en:soybeans","en:gluten,en:soybeans",NA,NA,75g,75,NA,4,"en:e422,en:e450,en:e450i,en:e471,en:e500,en:e500ii",0,NA,NA,0,NA,NA,2,b,4,Cereals and potatoes,Bread,"en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-completed, en:packaging-code-to-be-completed, en:characteristics-completed, en:categories-completed, en:brands-completed, en:packaging-completed, en:quantity-completed, en:product-name-completed, en:photos-to-be-validated, en:photos-uploaded",NA,NA,NA,en:wheat-flatbreads,NA,NA,NA,NA,NA,NA,NA,NA,1280,305.9273,1280,NA,6,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.6,1.4,NA,NA,NA,NA,NA,NA,NA,NA,2.1,NA,NA,7.7,NA,NA,NA,1.0325,0.413,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,Flatbreads,Australia
9339028000008,https://world.openfoodfacts.org/product/9339028000008,foodorigins,1433502261,1582764015,White Pita Bread,NA,NA,NA,NA,NA,NA,NA,NA,"Plant-based foods and beverages, Plant-based foods, Cereals and potatoes, Breads, Flatbreads, Special breads, Pitas","en:plant-based-foods-and-beverages,en:plant-based-foods,en:cereals-and-potatoes,en:breads,en:flatbreads,en:special-breads,en:pitas",NA,NA,NA,NA,en:halal,en:halal,NA,NA,NA,NA,NA,NA,Australia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cereals and potatoes,Bread,"en:to-be-completed, en:nutrition-facts-to-be-completed, en:ingredients-to-be-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:categories-completed, en:brands-to-be-completed, en:packaging-to-be-completed, en:quantity-to-be-completed, en:product-name-completed, en:photos-to-be-validated, en:photos-uploaded",NA,NA,NA,en:pitas,https://images.openfoodfacts.org/images/products/933/902/800/0008/front_en.7.400.jpg,https://images.openfoodfacts.org/images/products/933/902/800/0008/front_en.7.200.jpg,https://images.openfoodfacts.org/images/products/933/902/800/0008/front_en.7.400.jpg,https://images.openfoodfacts.org/images/products/933/902/800/0008/front_en.7.200.jpg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Flatbreads,Australia
9315090201017,https://world.openfoodfacts.org/product/9315090201017,clockwerx,1523183784,1582740033,Organic Wraps with Quinoa,NA,NA,NA,Plastic,plastic,NA,Australia's Own Organic,australia-s-own-organic,"Plant-based foods and beverages, Plant-based foods, Cereals and potatoes, Breads, Flatbreads","en:plant-based-foods-and-beverages,en:plant-based-foods,en:cereals-and-potatoes,en:breads,en:flatbreads",NA,NA,NA,NA,"Australian Certified Organic, en:australian-made","en:australian-made,en:australian-certified-organic",NA,NA,NA,NA,NA,NA,Australia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cereals and potatoes,Bread,"en:to-be-completed, en:nutrition-facts-to-be-completed, en:ingredients-to-be-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:categories-completed, en:brands-completed, en:packaging-completed, en:quantity-to-be-completed, en:product-name-completed, en:photos-to-be-validated, en:photos-uploaded",NA,NA,NA,en:flatbreads,https://images.openfoodfacts.org/images/products/931/509/020/1017/front_en.6.400.jpg,https://images.openfoodfacts.org/images/products/931/509/020/1017/front_en.6.200.jpg,https://images.openfoodfacts.org/images/products/931/509/020/1017/front_en.6.400.jpg,https://images.openfoodfacts.org/images/products/931/509/020/1017/front_en.6.200.jpg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Flatbreads,Australia
9317224402642,https://world.openfoodfacts.org/product/9317224402642,clockwerx,1523183831,1582734009,Chia Wraps,NA,NA,384g,Plastic,plastic,NA,Mission,mission,"Plant-based foods and beverages, Plant-based foods, Cereals and potatoes, Breads, Flatbreads","en:plant-based-foods-and-beverages,en:plant-based-foods,en:cereals-and-potatoes,en:breads,en:flatbreads",NA,NA,NA,NA,en:australian-made,en:australian-made,NA,NA,NA,NA,NA,NA,Australia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cereals and potatoes,Bread,"en:to-be-completed, en:nutrition-facts-to-be-completed, en:ingredients-to-be-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-completed, en:categories-completed, en:brands-completed, en:packaging-completed, en:quantity-completed, en:product-name-completed, en:photos-validated, en:photos-uploaded",NA,NA,NA,en:flatbreads,https://images.openfoodfacts.org/images/products/931/722/440/2642/front_en.6.400.jpg,https://images.openfoodfacts.org/images/products/931/722/440/2642/front_en.6.200.jpg,https://images.openfoodfacts.org/images/products/931/722/440/2642/front_en.6.400.jpg,https://images.openfoodfacts.org/images/products/931/722/440/2642/front_en.6.200.jpg,https://images.openfoodfacts.org/images/products/931/722/440/2642/ingredients_en.9.400.jpg,https://images.openfoodfacts.org/images/products/931/722/440/2642/ingredients_en.9.200.jpg,https://images.openfoodfacts.org/images/products/931/722/440/2642/nutrition_en.11.400.jpg,https://images.openfoodfacts.org/images/products/931/722/440/2642/nutrition_en.11.200.jpg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Flatbreads,Australia
9300695008468,https://world.openfoodfacts.org/product/9300695008468,rednut,1558251820,1577866356,Old El Paso,NA,NA,240g,NA,NA,NA,Old El Paso,old-el-paso,"Plant-based foods and beverages, Plant-based foods, Cereals and potatoes, Breads, Flatbreads, White breads, Wheat breads, Wheat flatbreads","en:plant-based-foods-and-beverages,en:plant-based-foods,en:cereals-and-potatoes,en:breads,en:flatbreads,en:white-breads,en:wheat-breads,en:wheat-flatbreads",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Australia,NA,NA,NA,NA,NA,1 tortilla,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,b,NA,Cereals and potatoes,Bread,"en:to-be-completed, en:nutrition-facts-completed, en:ingredients-to-be-completed, en:expiration-date-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:categories-completed, en:brands-completed, en:packaging-to-be-completed, en:quantity-completed, en:product-name-completed, en:photos-validated, en:photos-uploaded",NA,NA,NA,en:wheat-flatbreads,https://images.openfoodfacts.org/images/products/930/069/500/8468/front_en.4.400.jpg,https://images.openfoodfacts.org/images/products/930/069/500/8468/front_en.4.200.jpg,https://images.openfoodfacts.org/images/products/930/069/500/8468/front_en.4.400.jpg,https://images.openfoodfacts.org/images/products/930/069/500/8468/front_en.4.200.jpg,https://images.openfoodfacts.org/images/products/930/069/500/8468/ingredients_en.10.400.jpg,https://images.openfoodfacts.org/images/products/930/069/500/8468/ingredients_en.10.200.jpg,https://images.openfoodfacts.org/images/products/930/069/500/8468/nutrition_en.6.400.jpg,https://images.openfoodfacts.org/images/products/930/069/500/8468/nutrition_en.6.200.jpg,1350,NA,1350,NA,8.9,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.6,1.5,NA,NA,NA,NA,NA,NA,NA,NA,4.7,NA,NA,9.1,NA,NA,NA,1.005,0.402,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,Flatbreads,Australia
9300695004378,https://world.openfoodfacts.org/product/9300695004378,openfoodfacts-contributors,1501579472,1565970896,Old El Paso Tortillas,NA,Tortillas,250 g,NA,NA,NA,Old El Paso,old-el-paso,"Plant-based foods and beverages, Plant-based foods, Cereals and potatoes, Breads, Flatbreads, Tortillas","en:plant-based-foods-and-beverages,en:plant-based-foods,en:cereals-and-potatoes,en:breads,en:flatbreads,en:tortillas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Woolworths,Australia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cereals and potatoes,Bread,"en:to-be-completed, en:nutrition-facts-to-be-completed, en:ingredients-to-be-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:categories-completed, en:brands-completed, en:packaging-to-be-completed, en:quantity-completed, en:product-name-completed, en:photos-to-be-validated, en:photos-uploaded",NA,NA,NA,en:tortillas,https://images.openfoodfacts.org/images/products/930/069/500/4378/front_en.3.400.jpg,https://images.openfoodfacts.org/images/products/930/069/500/4378/front_en.3.200.jpg,https://images.openfoodfacts.org/images/products/930/069/500/4378/front_en.3.400.jpg,https://images.openfoodfacts.org/images/products/930/069/500/4378/front_en.3.200.jpg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Flatbreads,Australia
26196022,https://world.openfoodfacts.org/product/26196022,foodorigins,1433669679,1562252368,Chapatti Plain 6 Pack,NA,NA,280g,Plastic,plastic,NA,Aldi,aldi,"Plant-based foods and beverages, Plant-based foods, Cereals and potatoes, Breads, Flatbreads, Chapatti","en:plant-based-foods-and-beverages,en:plant-based-foods,en:cereals-and-potatoes,en:breads,en:flatbreads,en:chapatti",Australa,en:australa,Australia,australia,en:australian-made,en:australian-made,NA,NA,NA,NA,NA,Aldi,Australia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cereals and potatoes,Bread,"en:to-be-completed, en:nutrition-facts-to-be-completed, en:ingredients-to-be-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-completed, en:categories-completed, en:brands-completed, en:packaging-completed, en:quantity-completed, en:product-name-completed, en:photos-to-be-validated, en:photos-uploaded",NA,NA,NA,en:chapatti,https://images.openfoodfacts.org/images/products/26196022/front_en.7.400.jpg,https://images.openfoodfacts.org/images/products/26196022/front_en.7.200.jpg,https://images.openfoodfacts.org/images/products/26196022/front_en.7.400.jpg,https://images.openfoodfacts.org/images/products/26196022/front_en.7.200.jpg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Flatbreads,Australia
9313025000438,https://world.openfoodfacts.org/product/9313025000438,dhx,1518921513,1518921823,Fresh Roti Original,NA,roti,500 g,Plastic,plastic,NA,Supreme,supreme,"Plant-based foods and beverages, Plant-based foods, Cereals and potatoes, Breads, Flatbreads","en:plant-based-foods-and-beverages,en:plant-based-foods,en:cereals-and-potatoes,en:breads,en:flatbreads",NA,NA,Australia,australia,NA,NA,NA,NA,NA,NA,"Canberra,Australia",Costco,Australia,"_Wheat_ Flour, Water, Canola Oil, Salt, Sugar, Margarine (_Soy_, _Milk_, 202, 270), Cultured _Wheat_ Flour, Preservative (200)","en:gluten,en:milk,en:soybeans","en:gluten,en:milk,en:soybeans",NA,NA,125 g,125,NA,1,en:e200,0,NA,NA,0,NA,NA,1,b,3,Cereals and potatoes,Bread,"en:to-be-checked, en:complete, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-completed, en:packaging-code-to-be-completed, en:characteristics-completed, en:categories-completed, en:brands-completed, en:packaging-completed, en:quantity-completed, en:product-name-completed, en:photos-validated, en:photos-uploaded",NA,NA,NA,en:flatbreads,https://images.openfoodfacts.org/images/products/931/302/500/0438/front_en.5.400.jpg,https://images.openfoodfacts.org/images/products/931/302/500/0438/front_en.5.200.jpg,https://images.openfoodfacts.org/images/products/931/302/500/0438/front_en.5.400.jpg,https://images.openfoodfacts.org/images/products/931/302/500/0438/front_en.5.200.jpg,https://images.openfoodfacts.org/images/products/931/302/500/0438/ingredients_en.8.400.jpg,https://images.openfoodfacts.org/images/products/931/302/500/0438/ingredients_en.8.200.jpg,https://images.openfoodfacts.org/images/products/931/302/500/0438/nutrition_en.9.400.jpg,https://images.openfoodfacts.org/images/products/931/302/500/0438/nutrition_en.9.200.jpg,1110,NA,1110,NA,5.5,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.4,2.5,NA,NA,NA,NA,NA,NA,NA,NA,3.8,NA,NA,7,NA,NA,NA,1.2192,0.48768,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,Flatbreads,Australia
